#maxene Egi EgF EgG EgL
14    3.111       3.985       4.297  3.691
16    3.117       4.028       4.306  3.740
18    3.124       4.063       4.309  3.778
20    3.130       4.091       4.318  3.809
25    3.150       4.161       4.337  3.884
30    3.178       4.242       4.365  3.970
40    3.204       4.312       4.391  4.044
60    3.247       4.418       4.440  4.154
80    3.266       4.468       4.459  4.206
100   3.278       4.500       4.469  4.239
120   3.277       4.503       4.468  4.242
140   3.278       4.510       4.469  4.249
180   3.278       4.515       4.468  4.254
230   3.277       4.515       4.467  4.254
