# /home/stevezhang/codes/project/mushroom/scripts/m_gap_degw -e CuAlO2.eqpeV_GW
#unit:eV nbands:33 nkpts:32
#KS degw 
#Band 7
-20.973000 -2.145000
-20.652000 -2.134000
-19.864000 -2.097000
-19.286000 -2.059000
-20.644000 -2.135000
-20.077000 -2.111000
-19.319000 -2.067000
-19.348000 -2.064000
-20.101000 -2.108000
-19.828000 -2.101000
-19.274000 -2.072000
-18.893000 -2.032000
-19.171000 -2.074000
-20.950000 -2.149000
-20.615000 -2.139000
-19.819000 -2.102000
-19.262000 -2.061000
-19.869000 -2.096000
-20.598000 -2.141000
-20.025000 -2.118000
-19.263000 -2.074000
-19.328000 -2.066000
-19.778000 -2.108000
-19.235000 -2.078000
-18.893000 -2.032000
-19.206000 -2.068000
-20.900000 -2.156000
-20.567000 -2.146000
-19.773000 -2.109000
-20.558000 -2.148000
-19.997000 -2.122000
-20.874000 -2.160000
#Band 8
-18.870000 -2.064000
-18.757000 -2.055000
-18.590000 -2.038000
-18.640000 -2.041000
-18.772000 -2.053000
-18.639000 -2.038000
-18.617000 -2.033000
-18.581000 -2.037000
-18.601000 -2.042000
-18.644000 -2.031000
-18.672000 -2.026000
-18.769000 -2.048000
-18.775000 -2.024000
-18.914000 -2.059000
-18.821000 -2.047000
-18.657000 -2.030000
-18.669000 -2.038000
-18.584000 -2.038000
-18.852000 -2.043000
-18.718000 -2.028000
-18.686000 -2.025000
-18.606000 -2.034000
-18.715000 -2.022000
-18.718000 -2.019000
-18.769000 -2.048000
-18.735000 -2.030000
-19.005000 -2.047000
-18.904000 -2.036000
-18.722000 -2.021000
-18.920000 -2.034000
-18.760000 -2.022000
-19.052000 -2.041000
#Band 9
-8.189000 -1.144000
-7.872000 -1.102000
-7.445000 -1.139000
-7.933000 -1.565000
-7.803000 -1.105000
-7.381000 -1.093000
-7.484000 -1.494000
-7.581000 -1.404000
-7.523000 -1.069000
-7.475000 -1.275000
-7.678000 -1.412000
-7.186000 -1.496000
-8.104000 -1.485000
-7.975000 -1.153000
-7.557000 -1.123000
-7.180000 -1.166000
-7.987000 -1.532000
-7.533000 -1.178000
-7.377000 -1.138000
-7.026000 -1.173000
-7.526000 -1.492000
-7.663000 -1.394000
-7.359000 -1.370000
-7.622000 -1.446000
-7.183000 -1.504000
-8.070000 -1.497000
-7.411000 -1.190000
-6.988000 -1.188000
-7.237000 -1.433000
-6.817000 -1.226000
-6.686000 -1.293000
-6.941000 -1.265000
#Band 10
-3.781000 -0.119000
-5.251000 -1.237000
-7.050000 -1.437000
-7.480000 -1.257000
-5.249000 -1.232000
-6.272000 -1.364000
-7.244000 -1.243000
-7.158000 -1.299000
-6.255000 -1.354000
-6.742000 -1.331000
-6.797000 -1.409000
-7.025000 -1.209000
-7.039000 -1.447000
-4.196000 -0.906000
-5.392000 -1.238000
-7.131000 -1.475000
-7.372000 -1.302000
-6.937000 -1.372000
-5.429000 -1.214000
-6.372000 -1.359000
-7.103000 -1.287000
-6.962000 -1.329000
-6.629000 -1.353000
-6.882000 -1.381000
-7.029000 -1.199000
-7.158000 -1.387000
-5.018000 -1.002000
-5.745000 -1.171000
-6.832000 -1.279000
-5.856000 -1.118000
-6.581000 -1.280000
-5.600000 -0.937000
#Band 11
-3.767000 -1.052000
-4.223000 -0.965000
-5.315000 -1.170000
-5.353000 -0.922000
-4.310000 -0.996000
-5.569000 -1.286000
-5.713000 -1.235000
-5.874000 -1.224000
-5.593000 -1.315000
-5.412000 -1.164000
-5.933000 -1.149000
-6.603000 -1.383000
-5.116000 -0.722000
-3.716000 -1.062000
-4.128000 -1.005000
-5.181000 -1.085000
-5.268000 -0.926000
-5.372000 -1.229000
-4.378000 -1.068000
-5.462000 -1.234000
-5.578000 -1.299000
-5.960000 -1.215000
-5.268000 -1.012000
-5.707000 -1.214000
-6.599000 -1.386000
-5.133000 -0.851000
-3.590000 0.033000
-4.135000 -0.955000
-4.947000 -1.116000
-4.346000 -1.016000
-5.340000 -1.240000
-3.589000 0.073000
#Band 12
-3.767000 -1.052000
-4.033000 -1.103000
-4.498000 -1.178000
-4.706000 -1.208000
-3.958000 -1.122000
-4.192000 -1.101000
-5.065000 -1.016000
-4.932000 -1.093000
-4.211000 -1.115000
-4.317000 -1.244000
-4.540000 -1.092000
-5.141000 -1.273000
-4.484000 -1.298000
-3.716000 -1.062000
-4.010000 -1.108000
-4.470000 -1.185000
-4.662000 -1.220000
-4.435000 -1.196000
-3.822000 -1.180000
-4.185000 -0.936000
-4.980000 -0.925000
-4.718000 -1.138000
-4.274000 -0.809000
-4.653000 -0.957000
-5.150000 -1.253000
-4.554000 -1.261000
-3.580000 -1.104000
-3.959000 -0.830000
-4.554000 -0.683000
-3.892000 -0.696000
-4.377000 -0.650000
-3.462000 -1.190000
#Band 13
-3.659000 -1.005000
-3.193000 -0.930000
-3.466000 -0.908000
-3.788000 -1.032000
-3.276000 -0.765000
-3.529000 -0.977000
-3.864000 -1.167000
-3.975000 -1.135000
-3.442000 -1.085000
-3.738000 -0.867000
-4.397000 -1.036000
-4.609000 -0.846000
-4.380000 -1.120000
-3.601000 -0.180000
-3.592000 -0.775000
-3.957000 -0.822000
-3.977000 -0.985000
-3.393000 -0.938000
-3.654000 -0.577000
-3.889000 -0.885000
-4.122000 -0.924000
-4.200000 -1.065000
-4.270000 -1.273000
-4.405000 -0.969000
-4.595000 -0.870000
-4.286000 -1.010000
-3.580000 -1.104000
-3.899000 -1.142000
-4.365000 -1.222000
-3.774000 -1.213000
-3.944000 -1.153000
-3.462000 -1.190000
#Band 14
-2.602000 -1.094000
-2.851000 -0.285000
-2.989000 -1.143000
-3.121000 -1.166000
-2.892000 -1.028000
-3.343000 -0.961000
-3.627000 -0.950000
-3.394000 -0.999000
-3.103000 -0.986000
-3.372000 -0.971000
-3.782000 -0.954000
-3.699000 -1.006000
-3.586000 -0.955000
-2.706000 -1.049000
-2.978000 -0.318000
-3.058000 -1.109000
-3.234000 -1.111000
-3.143000 -1.071000
-3.128000 -0.926000
-3.606000 -1.057000
-3.853000 -1.086000
-3.490000 -0.968000
-3.451000 -0.932000
-3.948000 -1.028000
-3.708000 -0.995000
-3.463000 -1.013000
-2.940000 -0.957000
-3.056000 -0.260000
-3.282000 -1.011000
-3.196000 -0.886000
-3.723000 -0.992000
-3.101000 -0.854000
#Band 15
-2.602000 -1.094000
-2.729000 -1.101000
-2.516000 -0.158000
-2.574000 -0.181000
-2.749000 -0.426000
-2.231000 -0.150000
-2.173000 -0.204000
-2.184000 -0.192000
-2.287000 -0.032000
-2.501000 -0.149000
-2.224000 -0.196000
-1.748000 -0.186000
-2.580000 -0.164000
-2.706000 -1.049000
-2.778000 -1.078000
-2.522000 -0.175000
-2.575000 -0.176000
-2.518000 -0.118000
-2.798000 -0.480000
-2.207000 -0.227000
-2.192000 -0.209000
-2.208000 -0.196000
-2.501000 -0.173000
-2.218000 -0.201000
-1.746000 -0.186000
-2.578000 -0.168000
-2.940000 -0.957000
-2.998000 -0.986000
-2.517000 -0.175000
-2.967000 -0.356000
-2.221000 -0.233000
-3.101000 -0.854000
#Band 16
-1.731000 -0.163000
-1.807000 -0.165000
-1.374000 -0.151000
-1.473000 -0.163000
-1.803000 -0.169000
-1.934000 -0.199000
-1.452000 -0.135000
-1.413000 -0.192000
-1.928000 -0.203000
-1.548000 -0.142000
-1.599000 -0.145000
-1.690000 -0.198000
-1.703000 -0.145000
-1.731000 -0.163000
-1.805000 -0.171000
-1.309000 -0.159000
-1.471000 -0.199000
-1.470000 -0.171000
-1.803000 -0.174000
-1.947000 -0.193000
-1.429000 -0.177000
-1.522000 -0.167000
-1.459000 -0.170000
-1.504000 -0.182000
-1.703000 -0.189000
-1.594000 -0.181000
-1.730000 -0.163000
-1.806000 -0.173000
-1.325000 -0.187000
-1.806000 -0.173000
-1.955000 -0.190000
-1.730000 -0.163000
#Band 17
-1.731000 -0.163000
-1.545000 -0.155000
-1.247000 -0.039000
-1.188000 -0.168000
-1.546000 -0.154000
-1.355000 -0.168000
-1.369000 -0.173000
-1.409000 -0.127000
-1.318000 -0.202000
-1.169000 -0.124000
-1.362000 -0.150000
-1.471000 -0.148000
-0.967000 -0.106000
-1.731000 -0.163000
-1.546000 -0.154000
-1.168000 -0.124000
-1.105000 -0.196000
-1.267000 0.012000
-1.547000 -0.153000
-1.296000 -0.174000
-1.349000 -0.173000
-1.377000 -0.144000
-1.169000 -0.123000
-1.353000 -0.154000
-1.410000 -0.194000
-0.967000 -0.107000
-1.730000 -0.163000
-1.548000 -0.153000
-1.169000 -0.123000
-1.548000 -0.152000
-1.215000 -0.200000
-1.730000 -0.163000
#Band 18
-0.993000 -0.196000
-1.130000 -0.192000
-1.166000 -0.125000
-0.967000 -0.105000
-1.190000 -0.179000
-1.093000 -0.084000
-1.212000 -0.187000
-1.249000 -0.170000
-1.132000 -0.130000
-1.145000 -0.063000
-1.018000 -0.224000
-1.238000 -0.211000
-0.887000 -0.251000
-0.933000 -0.221000
-1.038000 -0.201000
-1.120000 -0.126000
-0.967000 -0.105000
-1.168000 -0.124000
-1.147000 -0.177000
