# /home/minyez/Documents/SelfDevelopment/codes/mushroom/scripts/m_gap_degw -e CuAlO2.eqpeV_GW0 -o degw-gw0.dat
#unit:eV nbands:33 nkpts:32
#KS degw 
#Band 7
-20.973000 -2.839000
-20.652000 -2.822000
-19.864000 -2.774000
-19.286000 -2.729000
-20.644000 -2.823000
-20.077000 -2.791000
-19.319000 -2.737000
-19.348000 -2.734000
-20.101000 -2.789000
-19.828000 -2.778000
-19.274000 -2.741000
-18.893000 -2.697000
-19.171000 -2.741000
-20.950000 -2.841000
-20.615000 -2.827000
-19.819000 -2.779000
-19.262000 -2.730000
-19.869000 -2.774000
-20.598000 -2.829000
-20.025000 -2.797000
-19.263000 -2.743000
-19.328000 -2.736000
-19.778000 -2.784000
-19.235000 -2.746000
-18.893000 -2.697000
-19.206000 -2.736000
-20.900000 -2.848000
-20.567000 -2.833000
-19.773000 -2.784000
-20.558000 -2.834000
-19.997000 -2.801000
-20.874000 -2.851000
#Band 8
-18.870000 -2.725000
-18.757000 -2.715000
-18.590000 -2.696000
-18.640000 -2.701000
-18.772000 -2.713000
-18.639000 -2.697000
-18.617000 -2.693000
-18.581000 -2.696000
-18.601000 -2.701000
-18.644000 -2.691000
-18.672000 -2.687000
-18.769000 -2.710000
-18.775000 -2.686000
-18.914000 -2.721000
-18.821000 -2.708000
-18.657000 -2.690000
-18.669000 -2.698000
-18.584000 -2.697000
-18.852000 -2.705000
-18.718000 -2.689000
-18.686000 -2.686000
-18.606000 -2.694000
-18.715000 -2.683000
-18.718000 -2.681000
-18.769000 -2.710000
-18.735000 -2.692000
-19.005000 -2.711000
-18.904000 -2.699000
-18.722000 -2.682000
-18.920000 -2.697000
-18.760000 -2.684000
-19.052000 -2.706000
#Band 9
-8.189000 -1.516000
-7.872000 -1.472000
-7.445000 -1.516000
-7.933000 -1.963000
-7.803000 -1.475000
-7.381000 -1.464000
-7.484000 -1.881000
-7.581000 -1.793000
-7.523000 -1.442000
-7.475000 -1.658000
-7.678000 -1.807000
-7.186000 -1.881000
-8.104000 -1.891000
-7.975000 -1.521000
-7.557000 -1.488000
-7.180000 -1.537000
-7.987000 -1.932000
-7.533000 -1.559000
-7.377000 -1.499000
-7.026000 -1.537000
-7.526000 -1.881000
-7.663000 -1.787000
-7.359000 -1.753000
-7.622000 -1.839000
-7.183000 -1.889000
-8.070000 -1.901000
-7.411000 -1.548000
-6.988000 -1.542000
-7.237000 -1.812000
-6.817000 -1.578000
-6.686000 -1.652000
-6.941000 -1.618000
#Band 10
-3.781000 -0.245000
-5.251000 -1.570000
-7.050000 -1.814000
-7.480000 -1.644000
-5.249000 -1.568000
-6.272000 -1.722000
-7.244000 -1.623000
-7.158000 -1.678000
-6.255000 -1.716000
-6.742000 -1.699000
-6.797000 -1.778000
-7.025000 -1.583000
-7.039000 -1.820000
-4.196000 -1.143000
-5.392000 -1.562000
-7.131000 -1.851000
-7.372000 -1.686000
-6.937000 -1.748000
-5.429000 -1.540000
-6.372000 -1.713000
-7.103000 -1.663000
-6.962000 -1.705000
-6.629000 -1.712000
-6.882000 -1.752000
-7.029000 -1.574000
-7.158000 -1.765000
-5.018000 -1.272000
-5.745000 -1.492000
-6.832000 -1.643000
-5.856000 -1.438000
-6.581000 -1.636000
-5.600000 -1.218000
#Band 11
-3.767000 -1.360000
-4.223000 -1.228000
-5.315000 -1.496000
-5.353000 -1.245000
-4.310000 -1.256000
-5.569000 -1.623000
-5.713000 -1.583000
-5.874000 -1.573000
-5.593000 -1.649000
-5.412000 -1.483000
-5.933000 -1.495000
-6.603000 -1.749000
-5.116000 -1.031000
-3.716000 -1.369000
-4.128000 -1.292000
-5.181000 -1.411000
-5.268000 -1.244000
-5.372000 -1.549000
-4.378000 -1.357000
-5.462000 -1.573000
-5.578000 -1.643000
-5.960000 -1.562000
-5.268000 -1.331000
-5.707000 -1.556000
-6.599000 -1.753000
-5.133000 -1.160000
-3.590000 -0.097000
-4.135000 -1.249000
-4.947000 -1.432000
-4.346000 -1.320000
-5.340000 -1.576000
-3.589000 -0.050000
#Band 12
-3.767000 -1.360000
-4.033000 -1.420000
-4.498000 -1.508000
-4.706000 -1.543000
-3.958000 -1.436000
-4.192000 -1.411000
-5.065000 -1.340000
-4.932000 -1.415000
-4.211000 -1.424000
-4.317000 -1.568000
-4.540000 -1.402000
-5.141000 -1.606000
-4.484000 -1.626000
-3.716000 -1.369000
-4.010000 -1.424000
-4.470000 -1.514000
-4.662000 -1.554000
-4.435000 -1.524000
-3.822000 -1.489000
-4.185000 -1.236000
-4.980000 -1.239000
-4.718000 -1.453000
-4.274000 -1.092000
-4.653000 -1.260000
-5.150000 -1.587000
-4.554000 -1.591000
-3.580000 -1.406000
-3.959000 -1.113000
-4.554000 -0.971000
-3.892000 -0.957000
-4.377000 -0.933000
-3.462000 -1.489000
#Band 13
-3.659000 -1.272000
-3.193000 -1.196000
-3.466000 -1.178000
-3.788000 -1.314000
-3.276000 -1.015000
-3.529000 -1.253000
-3.864000 -1.463000
-3.975000 -1.434000
-3.442000 -1.371000
-3.738000 -1.141000
-4.397000 -1.344000
-4.609000 -1.148000
-4.380000 -1.416000
-3.601000 -0.339000
-3.592000 -1.042000
-3.957000 -1.097000
-3.977000 -1.272000
-3.393000 -1.211000
-3.654000 -0.818000
-3.889000 -1.167000
-4.122000 -1.222000
-4.200000 -1.372000
-4.270000 -1.594000
-4.405000 -1.276000
-4.595000 -1.171000
-4.286000 -1.306000
-3.580000 -1.406000
-3.899000 -1.454000
-4.365000 -1.547000
-3.774000 -1.521000
-3.944000 -1.455000
-3.462000 -1.489000
#Band 14
-2.602000 -1.370000
-2.851000 -0.421000
-2.989000 -1.431000
-3.121000 -1.459000
-2.892000 -1.309000
-3.343000 -1.238000
-3.627000 -1.230000
-3.394000 -1.277000
-3.103000 -1.258000
-3.372000 -1.265000
-3.782000 -1.243000
-3.699000 -1.291000
-3.586000 -1.254000
-2.706000 -1.325000
-2.978000 -0.446000
-3.058000 -1.398000
-3.234000 -1.405000
-3.143000 -1.360000
-3.128000 -1.210000
-3.606000 -1.351000
-3.853000 -1.379000
-3.490000 -1.248000
-3.451000 -1.227000
-3.948000 -1.328000
-3.708000 -1.279000
-3.463000 -1.310000
-2.940000 -1.236000
-3.056000 -0.377000
-3.282000 -1.303000
-3.196000 -1.171000
-3.723000 -1.290000
-3.101000 -1.136000
#Band 15
-2.602000 -1.370000
-2.729000 -1.380000
-2.516000 -0.238000
-2.574000 -0.262000
-2.749000 -0.579000
-2.231000 -0.230000
-2.173000 -0.285000
-2.184000 -0.272000
-2.287000 -0.103000
-2.501000 -0.229000
-2.224000 -0.272000
-1.748000 -0.253000
-2.580000 -0.245000
-2.706000 -1.325000
-2.778000 -1.358000
-2.522000 -0.255000
-2.575000 -0.257000
-2.518000 -0.196000
-2.798000 -0.632000
-2.207000 -0.309000
-2.192000 -0.288000
-2.208000 -0.274000
-2.501000 -0.254000
-2.218000 -0.277000
-1.746000 -0.255000
-2.578000 -0.249000
-2.940000 -1.236000
-2.998000 -1.268000
-2.517000 -0.255000
-2.967000 -0.488000
-2.221000 -0.312000
-3.101000 -1.136000
#Band 16
-1.731000 -0.230000
-1.807000 -0.233000
-1.374000 -0.274000
-1.473000 -0.291000
-1.803000 -0.237000
-1.934000 -0.273000
-1.452000 -0.244000
-1.413000 -0.302000
-1.928000 -0.279000
-1.548000 -0.270000
-1.599000 -0.274000
-1.690000 -0.267000
-1.703000 -0.278000
-1.731000 -0.230000
-1.805000 -0.239000
-1.309000 -0.279000
-1.471000 -0.331000
-1.470000 -0.294000
-1.803000 -0.243000
-1.947000 -0.266000
-1.429000 -0.289000
-1.522000 -0.286000
-1.459000 -0.302000
-1.504000 -0.313000
-1.703000 -0.256000
-1.594000 -0.315000
-1.730000 -0.230000
-1.806000 -0.241000
-1.325000 -0.314000
-1.806000 -0.242000
-1.955000 -0.262000
-1.730000 -0.230000
#Band 17
-1.731000 -0.230000
-1.545000 -0.219000
-1.247000 -0.077000
-1.188000 -0.301000
-1.546000 -0.217000
-1.355000 -0.298000
-1.369000 -0.249000
-1.409000 -0.202000
-1.318000 -0.335000
-1.169000 -0.179000
-1.362000 -0.208000
-1.471000 -0.277000
-0.967000 -0.157000
-1.731000 -0.230000
-1.546000 -0.218000
-1.168000 -0.180000
-1.105000 -0.330000
-1.267000 -0.024000
-1.547000 -0.216000
-1.296000 -0.306000
-1.349000 -0.251000
-1.377000 -0.211000
-1.169000 -0.178000
-1.353000 -0.214000
-1.410000 -0.326000
-0.967000 -0.159000
-1.730000 -0.230000
-1.548000 -0.216000
-1.169000 -0.178000
-1.548000 -0.216000
-1.215000 -0.333000
-1.730000 -0.230000
#Band 18
-0.993000 -0.330000
-1.130000 -0.324000
-1.166000 -0.181000
-0.967000 -0.156000
-1.190000 -0.311000
-1.093000 -0.130000
-1.212000 -0.318000
-1.249000 -0.301000
-1.132000 -0.214000
-1.145000 -0.100000
-1.018000 -0.357000
-1.238000 -0.343000
-0.887000 -0.386000
-0.933000 -0.356000
-1.038000 -0.332000
-1.120000 -0.170000
-0.967000 -0.156000
-1.168000 -0.180000
-1.147000 -0.309000
-1.061000 -0.147000
-1.130000 -0.328000
-1.134000 -0.324000
-1.061000 -0.144000
-1.034000 -0.348000
-1.289000 -0.302000
-0.956000 -0.368000
-0.825000 -0.392000
-0.981000 -0.347000
-1.051000 -0.174000
-1.032000 -0.337000
-1.052000 -0.157000
-0.776000 -0.406000
#Band 19
-0.993000 -0.330000
-1.046000 -0.321000
-1.142000 -0.305000
-0.083000 0.242000
-0.942000 -0.361000
-1.041000 -0.339000
-0.236000 0.138000
-0.358000 0.171000
-1.113000 -0.202000
-0.896000 -0.382000
-0.207000 0.118000
-0.032000 0.229000
0.000000 0.189000
-0.933000 -0.356000
-1.014000 -0.335000
-1.093000 -0.324000
-0.095000 0.249000
-1.033000 -0.344000
-0.826000 -0.395000
-0.952000 -0.361000
-0.135000 0.119000
-0.338000 0.157000
-0.858000 -0.391000
-0.122000 0.108000
-0.030000 0.226000
-0.046000 0.216000
-0.825000 -0.392000
-0.888000 -0.378000
-0.948000 -0.370000
-0.802000 -0.401000
-0.939000 -0.356000
-0.776000 -0.406000
#Band 20
1.934000 1.199000
2.390000 1.113000
2.797000 0.858000
2.603000 0.285000
2.504000 1.103000
2.929000 0.960000
3.191000 0.556000
3.445000 0.568000
2.875000 0.964000
3.117000 0.843000
3.509000 0.569000
5.333000 0.512000
2.951000 0.306000
2.247000 1.146000
2.727000 1.087000
2.661000 0.851000
2.681000 0.290000
3.016000 0.856000
2.977000 1.081000
3.020000 0.950000
3.095000 0.550000
3.603000 0.575000
2.970000 0.828000
3.257000 0.556000
5.339000 0.512000
2.854000 0.301000
2.984000 1.090000
3.207000 1.081000
2.735000 0.835000
3.358000 1.087000
3.060000 0.946000
3.596000 1.150000
#Band 21
6.160000 0.733000
7.113000 0.840000
7.623000 0.942000
6.069000 0.897000
7.006000 0.855000
8.120000 1.077000
7.251000 0.817000
7.085000 0.834000
8.648000 0.887000
7.544000 0.931000
7.373000 0.839000
5.580000 0.539000
6.840000 1.019000
5.908000 0.819000
6.632000 0.915000
7.735000 1.002000
6.260000 0.918000
7.566000 0.911000
6.368000 0.886000
7.777000 1.074000
7.493000 0.800000
7.148000 0.845000
7.651000 0.994000
7.546000 0.811000
5.574000 0.538000
6.654000 0.979000
5.181000 0.850000
6.079000 0.890000
7.771000 1.031000
5.913000 0.859000
7.662000 1.075000
4.552000 0.724000
#Band 22
7.255000 1.119000
8.019000 1.181000
8.366000 0.832000
7.798000 0.893000
7.944000 1.112000
9.276000 1.117000
8.903000 1.170000
9.027000 1.154000
8.653000 1.302000
8.379000 0.821000
9.466000 1.086000
8.766000 1.165000
8.573000 0.978000
7.213000 0.982000
8.320000 1.048000
8.578000 0.813000
7.835000 0.892000
8.252000 0.836000
8.211000 0.979000
9.823000 1.093000
8.912000 1.181000
9.186000 1.097000
8.688000 0.801000
9.201000 1.194000
8.767000 1.166000
8.022000 0.882000
7.265000 0.848000
8.473000 0.956000
8.805000 0.809000
8.431000 0.936000
10.132000 1.098000
7.322000 0.821000
#Band 23
11.804000 0.928000
11.700000 0.858000
10.567000 1.115000
10.993000 1.244000
11.754000 1.031000
10.671000 0.841000
10.687000 0.994000
10.292000 0.960000
10.738000 0.779000
10.127000 1.029000
9.688000 1.152000
10.048000 1.586000
8.617000 0.831000
11.977000 1.050000
11.626000 0.970000
10.650000 1.226000
10.481000 1.135000
10.302000 1.011000
11.642000 1.152000
10.491000 0.932000
10.792000 1.111000
10.060000 1.080000
9.953000 1.047000
10.029000 1.071000
10.048000 1.587000
9.516000 0.996000
12.210000 1.240000
11.544000 1.099000
10.090000 1.042000
11.535000 1.145000
10.245000 0.904000
12.280000 1.313000
#Band 24
13.828000 1.381000
12.347000 1.216000
11.217000 1.116000
11.555000 1.439000
12.362000 1.116000
11.102000 1.009000
11.361000 1.209000
10.895000 1.098000
11.083000 1.077000
11.509000 1.285000
10.334000 1.010000
11.519000 1.259000
11.326000 1.104000
13.839000 1.382000
12.368000 1.127000
11.109000 0.964000
