# /home/stevezhang/codes/project/mushroom/scripts/m_gap_degw -e CuAlO2.eqpeV_GW
#unit:eV nbands:34 nkpts:32
#KS degw 
#Band 7
-20.976000 -2.441000
-20.655000 -2.433000
-19.867000 -2.407000
-19.289000 -2.379000
-20.646000 -2.434000
-20.079000 -2.418000
-19.321000 -2.386000
-19.351000 -2.383000
-20.104000 -2.414000
-19.830000 -2.412000
-19.275000 -2.392000
-18.896000 -2.360000
-19.171000 -2.396000
-20.952000 -2.445000
-20.617000 -2.439000
-19.820000 -2.413000
-19.265000 -2.382000
-19.872000 -2.406000
-20.599000 -2.442000
-20.026000 -2.426000
-19.263000 -2.394000
-19.331000 -2.385000
-19.778000 -2.420000
-19.235000 -2.399000
-18.896000 -2.360000
-19.207000 -2.389000
-20.901000 -2.453000
-20.567000 -2.447000
-19.773000 -2.421000
-20.558000 -2.449000
-19.997000 -2.431000
-20.874000 -2.458000
#Band 8
-18.869000 -2.384000
-18.757000 -2.378000
-18.591000 -2.367000
-18.640000 -2.371000
-18.772000 -2.376000
-18.640000 -2.366000
-18.618000 -2.364000
-18.581000 -2.368000
-18.601000 -2.371000
-18.645000 -2.360000
-18.674000 -2.357000
-18.769000 -2.377000
-18.779000 -2.352000
-18.915000 -2.378000
-18.822000 -2.369000
-18.659000 -2.358000
-18.670000 -2.368000
-18.584000 -2.368000
-18.854000 -2.364000
-18.721000 -2.354000
-18.688000 -2.355000
-18.606000 -2.366000
-18.718000 -2.350000
-18.722000 -2.349000
-18.769000 -2.377000
-18.738000 -2.359000
-19.007000 -2.365000
-18.907000 -2.356000
-18.725000 -2.348000
-18.923000 -2.354000
-18.763000 -2.348000
-19.055000 -2.357000
#Band 9
-8.189000 -1.451000
-7.872000 -1.438000
-7.445000 -1.508000
-7.933000 -1.809000
-7.803000 -1.442000
-7.381000 -1.465000
-7.483000 -1.762000
-7.581000 -1.699000
-7.523000 -1.448000
-7.475000 -1.609000
-7.678000 -1.713000
-7.186000 -1.773000
-8.104000 -1.763000
-7.975000 -1.462000
-7.557000 -1.458000
-7.180000 -1.524000
-7.987000 -1.788000
-7.533000 -1.537000
-7.377000 -1.472000
-7.026000 -1.524000
-7.526000 -1.761000
-7.663000 -1.697000
-7.359000 -1.677000
-7.622000 -1.734000
-7.183000 -1.778000
-8.070000 -1.769000
-7.411000 -1.502000
-6.988000 -1.515000
-7.237000 -1.712000
-6.816000 -1.548000
-6.686000 -1.615000
-6.941000 -1.577000
#Band 10
-3.781000 -0.800000
-5.251000 -1.617000
-7.050000 -1.721000
-7.480000 -1.604000
-5.249000 -1.623000
-6.272000 -1.682000
-7.244000 -1.588000
-7.158000 -1.633000
-6.255000 -1.690000
-6.742000 -1.655000
-6.797000 -1.701000
-7.025000 -1.569000
-7.039000 -1.724000
-4.195000 -1.290000
-5.392000 -1.573000
-7.131000 -1.741000
-7.372000 -1.635000
-6.936000 -1.687000
-5.429000 -1.560000
-6.372000 -1.656000
-7.103000 -1.620000
-6.962000 -1.657000
-6.629000 -1.654000
-6.882000 -1.681000
-7.029000 -1.564000
-7.158000 -1.689000
-5.018000 -1.324000
-5.744000 -1.489000
-6.832000 -1.604000
-5.855000 -1.444000
-6.581000 -1.588000
-5.600000 -1.260000
#Band 11
-3.767000 -1.604000
-4.223000 -1.394000
-5.315000 -1.561000
-5.353000 -1.433000
-4.310000 -1.384000
-5.569000 -1.626000
-5.713000 -1.619000
-5.874000 -1.602000
-5.592000 -1.630000
-5.412000 -1.515000
-5.932000 -1.540000
-6.603000 -1.692000
-5.116000 -1.296000
-3.716000 -1.606000
-4.128000 -1.499000
-5.181000 -1.541000
