# /home/minyez/Documents/SelfDevelopment/codes/mushroom/scripts/m_gap_degw -e CuAlO2.eqpeV_GW0 -o degw-gw0.dat
#unit:eV nbands:34 nkpts:32
#KS degw 
#Band 7
-20.976000 -3.171000
-20.655000 -3.159000
-19.867000 -3.125000
-19.289000 -3.093000
-20.646000 -3.160000
-20.079000 -3.138000
-19.321000 -3.100000
-19.351000 -3.097000
-20.104000 -3.135000
-19.830000 -3.129000
-19.275000 -3.105000
-18.896000 -3.071000
-19.171000 -3.108000
-20.952000 -3.174000
-20.617000 -3.164000
-19.820000 -3.131000
-19.265000 -3.095000
-19.872000 -3.125000
-20.599000 -3.167000
-20.026000 -3.145000
-19.263000 -3.107000
-19.331000 -3.099000
-19.778000 -3.136000
-19.235000 -3.111000
-18.896000 -3.071000
-19.207000 -3.102000
-20.901000 -3.182000
-20.567000 -3.171000
-19.773000 -3.137000
-20.558000 -3.173000
-19.997000 -3.149000
-20.874000 -3.186000
#Band 8
-18.869000 -3.092000
-18.757000 -3.085000
-18.591000 -3.074000
-18.640000 -3.079000
-18.772000 -3.083000
-18.640000 -3.073000
-18.618000 -3.072000
-18.581000 -3.076000
-18.601000 -3.077000
-18.645000 -3.068000
-18.674000 -3.065000
-18.769000 -3.086000
-18.779000 -3.062000
-18.915000 -3.086000
-18.822000 -3.077000
-18.659000 -3.066000
-18.670000 -3.076000
-18.584000 -3.075000
-18.854000 -3.073000
-18.721000 -3.063000
-18.688000 -3.064000
-18.606000 -3.073000
-18.718000 -3.058000
-18.722000 -3.059000
-18.769000 -3.086000
-18.738000 -3.068000
-19.007000 -3.074000
-18.907000 -3.066000
-18.725000 -3.057000
-18.923000 -3.063000
-18.763000 -3.057000
-19.055000 -3.068000
#Band 9
-8.189000 -1.909000
-7.872000 -1.900000
-7.445000 -1.985000
-7.933000 -2.282000
-7.803000 -1.903000
-7.381000 -1.936000
-7.483000 -2.231000
-7.581000 -2.176000
-7.523000 -1.922000
-7.475000 -2.088000
-7.678000 -2.199000
-7.186000 -2.249000
-8.104000 -2.254000
-7.975000 -1.917000
-7.557000 -1.913000
-7.180000 -1.994000
-7.987000 -2.267000
-7.533000 -2.017000
-7.377000 -1.923000
-7.026000 -1.984000
-7.526000 -2.234000
-7.663000 -2.180000
-7.359000 -2.151000
-7.622000 -2.216000
-7.183000 -2.253000
-8.070000 -2.256000
-7.411000 -1.945000
-6.988000 -1.955000
-7.237000 -2.178000
-6.816000 -1.984000
-6.686000 -2.061000
-6.941000 -2.008000
#Band 10
-3.781000 -1.403000
-5.251000 -2.070000
-7.050000 -2.188000
-7.480000 -2.091000
-5.249000 -2.080000
-6.272000 -2.142000
-7.244000 -2.069000
-7.158000 -2.114000
-6.255000 -2.160000
-6.742000 -2.121000
-6.797000 -2.159000
-7.025000 -2.047000
-7.039000 -2.182000
-4.195000 -1.699000
-5.392000 -2.008000
-7.131000 -2.201000
-7.372000 -2.117000
-6.936000 -2.162000
-5.429000 -1.997000
-6.372000 -2.102000
-7.103000 -2.095000
-6.962000 -2.132000
-6.629000 -2.101000
-6.882000 -2.141000
-7.029000 -2.044000
-7.158000 -2.158000
-5.018000 -1.718000
-5.744000 -1.915000
-6.832000 -2.060000
-5.855000 -1.873000
-6.581000 -2.040000
-5.600000 -1.666000
#Band 11
-3.767000 -2.083000
-4.223000 -1.855000
-5.315000 -2.028000
-5.353000 -1.933000
-4.310000 -1.829000
-5.569000 -2.080000
-5.713000 -2.087000
-5.874000 -2.072000
-5.592000 -2.074000
-5.412000 -1.956000
-5.932000 -2.005000
-6.603000 -2.151000
-5.116000 -1.787000
-3.716000 -2.079000
-4.128000 -1.978000
-5.181000 -2.030000
-5.268000 -1.904000
-5.372000 -1.997000
-4.377000 -1.934000
-5.462000 -2.084000
-5.578000 -2.102000
-5.960000 -2.043000
-5.267000 -1.919000
-5.707000 -2.041000
-6.599000 -2.151000
-5.133000 -1.830000
-3.589000 -1.504000
-4.135000 -1.973000
-4.947000 -2.018000
-4.346000 -1.985000
-5.340000 -2.084000
-3.589000 -1.493000
#Band 12
-3.767000 -2.083000
-4.033000 -2.093000
-4.498000 -2.117000
-4.706000 -2.130000
-3.958000 -2.088000
-4.192000 -2.057000
-5.065000 -2.005000
-4.932000 -2.026000
-4.211000 -2.049000
-4.317000 -2.107000
-4.540000 -1.997000
-5.141000 -2.129000
-4.484000 -2.119000
-3.716000 -2.079000
-4.010000 -2.091000
-4.470000 -2.116000
-4.661000 -2.128000
-4.434000 -2.114000
-3.821000 -2.077000
-4.185000 -1.954000
-4.979000 -1.930000
-4.718000 -2.013000
-4.274000 -1.833000
-4.653000 -1.916000
-5.150000 -2.126000
-4.553000 -2.123000
-3.580000 -2.068000
-3.959000 -1.922000
-4.554000 -1.775000
-3.892000 -1.857000
-4.376000 -1.784000
-3.462000 -2.050000
#Band 13
-3.659000 -1.816000
-3.193000 -1.857000
-3.466000 -1.833000
-3.788000 -1.854000
-3.276000 -1.813000
-3.529000 -1.936000
-3.863000 -2.044000
-3.975000 -2.033000
-3.442000 -2.013000
-3.738000 -1.836000
-4.397000 -2.006000
-4.609000 -1.897000
-4.380000 -1.918000
-3.601000 -1.561000
-3.592000 -1.822000
-3.956000 -1.809000
-3.977000 -1.876000
-3.393000 -1.861000
-3.653000 -1.766000
-3.889000 -1.911000
-4.121000 -1.957000
-4.200000 -2.037000
-4.269000 -2.103000
-4.405000 -1.973000
-4.595000 -1.898000
-4.286000 -1.909000
-3.580000 -2.068000
-3.898000 -2.082000
-4.365000 -2.110000
-3.774000 -2.070000
-3.944000 -2.069000
-3.462000 -2.050000
#Band 14
-2.602000 -1.987000
-2.851000 -1.699000
-2.989000 -2.026000
-3.120000 -2.036000
-2.891000 -2.032000
-3.342000 -1.927000
-3.627000 -1.880000
-3.394000 -1.904000
-3.103000 -1.884000
-3.372000 -2.079000
-3.782000 -1.957000
-3.699000 -1.922000
-3.586000 -2.095000
-2.706000 -2.009000
-2.978000 -1.639000
-3.058000 -2.038000
-3.234000 -2.054000
-3.142000 -2.050000
-3.128000 -2.067000
